name,ly_galactic_x,ly_galactic_y,ly_galactic_z
Sol,0.0,0.0,0.0
Henry Draper (HD) 225261,-22.5,61.6,-51.7
Giclas white Dwarf (GD) 806,-10.2,10.1,-29.7
Henry Draper (HD) 127334,8.67,31.4,69.6
Gliese (Gl) 553,35.2,-12.1,39.0
Gliese (Gl) 553.1,24.6,-9.8,24.9
Gliese (Gl) 554,14.2,24.3,66.0
Gliese & Jahreiss (GJ) 1184,38.1,3.02,68.8
Vyssotsky McCormick (McC) 721,36.3,-2.62,57.9
Woolley (Wo) 9486,84.8,-29.6,89.4
Henry Draper (HD) 128642,-24.6,45.8,37.2
Gliese (Gl) 555,13.7,-5.25,13.5
Gliese (Gl) 556,-1.191,23.18,37.12
YZ Ceti,-2.05,1.2,-12.0
Sigma Boötis,14.1,14.1,46.3
Gliese (Gl) 558,15.2,21.8,60.9
Gliese (Gl) 558.1,62.1,-66.6,-11.9
Henry Draper (HD) 128311,27.6,1.52,46.4
Henry Draper (HD) 128750,156.0,53.4,328.0
Henry Draper (HD) 128400,41.5,-49.2,-16.2
Gliese (Gl) 559.1,-18.9,69.9,83.7
Mu Virginis,40.5,-9.27,44.5
Gliese (Gl) 561,77.0,60.0,205.0
Omicron Boötis,103.0,33.3,197.0
Henry Draper (HD) 7205,-83.7,108.0,-51.6
Gliese (Gl) 562,26.8,8.31,50.1
Luyten Half-Second (LHS) 378,35.1,-13.9,28.5
Henry Draper (HD) 130307,39.0,-2.03,50.9
Gliese (Gl) 563.1,15.5,32.6,70.3
Gliese (Gl) 563.3,58.0,3.09,81.8
Alpha(1) Librae,57.8,-20.1,47.0
Gliese (Gl) 564,22.8,14.5,51.9
Alpha(2) Librae,57.9,-20.1,47.0
Gliese (Gl) 565,43.5,-19.7,28.0
Henry Draper (HD) 131509,27.0,25.0,71.0
Woolley (Wo) 9046,30.0,-113.0,-425.0
Gliese (Gl) 567,17.06,7.445,32.7
Henry Draper (HD) 133002,-19.9,36.6,27.9
Luyten Half-Second (LHS) 3003,16.2,-7.93,9.22
Gliese (Gl) 569.1,-0.24,44.7,63.9
16 Librae,63.0,-8.59,65.1
Gliese (Gl) 570.1,63.8,-46.7,11.8
Henry Draper (HD) 132254,4.56,43.8,68.0
Gliese (Gl) 570.2,33.0,37.0,93.0
Gliese (Gl) 571,67.5,-44.9,18.0
Bonner Durchmusterung (BD) +60°1577,-6.75,51.0,63.4
Gliese (Gl) 54.3,59.6,-110.0,-162.0
Gliese (Gl) 571.1,47.5,-10.9,40.9
