# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Oct 20 21:07:36 2012
#
pl_hostname,pl_letter,pl_discmethod,pl_orbper,pl_orbsmax,pl_orbeccen,pl_massj,pl_radj,pl_radj,pl_dens,pl_orbincl,st_dist,st_vj,st_teff,st_mass,st_rad,hd_name,hip_name,st_bmvj,pl_rade,pl_disc
11 Com,b,Radial Velocity,326.03000000,1.290000,0.231000,,,,,,112.00,4.740,4742.00,2.70,19.50,HD 107383,HIP 60202,1.010,,2008
11 UMi,b,Radial Velocity,516.22000000,1.540000,0.080000,,,,,,119.50,5.016,4340.00,1.80,24.08,HD 136726,HIP 74793,1.369,,2009
14 And,b,Radial Velocity,185.84000000,0.830000,0.000000,,,,,,76.40,5.220,4813.00,2.20,11.00,HD 221345,HIP 116076,1.020,,2008
14 Her,b,Radial Velocity,1773.40000000,2.770000,0.369000,,,,,,18.15,6.605,5311.00,0.90,,HD 145675,HIP 79248,0.890,,2002
16 Cyg B,b,Radial Velocity,798.50000000,1.681000,0.681000,1.68000,,,,,21.41,6.200,5674.00,0.99,1.16,HD 186427,HIP 96901,0.660,,1996
18 Del,b,Radial Velocity,993.30000000,2.600000,0.080000,,,,,,73.10,5.506,4979.00,2.30,8.50,HD 199665,HIP 103527,0.924,,2008
1RXS J160929.1-210524,b,Imaging,,330.000000,,8.00000,,,,,,,,,,,,,,2008
24 Sex,b,Radial Velocity,452.80000000,1.333000,0.090000,,,,,,74.80,6.441,5098.00,1.54,4.90,HD 90043,HIP 50887,0.958,,2010
24 Sex,c,Radial Velocity,883.00000000,2.080000,0.290000,,,,,,74.80,6.441,5098.00,1.54,4.90,HD 90043,HIP 50887,0.958,,2010
2MASS J04414489+2301513,b,Imaging,,15.000000,,7.50000,,,,,,,,,,,,,,2010
2MASS J07464256+2000321A,b,Imaging,4640.00000000,,0.487000,31.42000,,,,138.200,,,,,,,,,,2010
2MASS J12073346-3932539,b,Imaging,,41.000000,,4.00000,1.500,1.500,,,,,,,,,,,16.813,2004
2MASS J21402931+1625183A,b,Imaging,7340.00000000,,0.260000,20.95000,,,,46.200,,,,,,,,,,2010
2MASS J22062280-2047058A,b,Imaging,8686.00000000,,0.000000,31.42000,,,,44.300,,,,,,,,,,2010
30 Ari B,b,Radial Velocity,335.10000000,0.995000,0.289000,,,,,,39.40,6.455,6152.00,1.16,1.13,HD 16246,HIP 12189,0.399,,2009
4 UMa,b,Radial Velocity,269.30000000,0.870000,0.432000,,,,,,62.39,4.610,4415.00,1.23,18.11,HD 73108,HIP 42527,1.170,,2007
42 Dra,b,Radial Velocity,479.10000000,1.190000,0.380000,,,,,,96.50,4.820,4200.00,0.98,22.03,HD 170693,HIP 90344,1.190,,2009
47 UMa,b,Radial Velocity,1078.00000000,2.100000,0.032000,,,,,,14.08,5.050,5882.00,1.08,1.23,HD 95128,HIP 53721,0.610,,1996
47 UMa,c,Radial Velocity,2391.00000000,3.600000,0.098000,,,,,,14.08,5.050,5882.00,1.08,1.23,HD 95128,HIP 53721,0.610,,2001
47 UMa,d,Radial Velocity,14002.00000000,11.600000,0.160000,,,,,,14.08,5.050,5882.00,1.08,1.23,HD 95128,HIP 53721,0.610,,2010
51 Peg,b,Radial Velocity,4.23078500,0.052700,0.013000,,,,,,15.40,5.500,5787.00,1.09,1.20,HD 217014,HIP 113357,0.670,,1995
