pl_hostname,pl_letter,pl_discmethod,pl_orbper,pl_orbsmax,pl_orbeccen,pl_massj,pl_dens,pl_orbincl,st_dist,st_vj,st_teff,st_mass,st_rad,hd_name,hip_name,st_bmvj,pl_rade,pl_disc,pl_pelink
KOI-55,b,Transit,0.240104,0.006,,0.0014,,65,1180,,27730,0.5,0.2,,,,0.759,2011,http://exoplanet.eu/catalog/koi-55_b/
Kepler-42,c,Transit,0.45328509,0.006,,,,,38.7,,3068,0.13,0.17,,,,0.73,2012,http://exoplanet.eu/catalog/kepler-42_c/
KOI-55,c,Transit,0.342887,0.0076,,0.0021,,65,1180,,27730,0.5,0.2,,,,0.867,2011,http://exoplanet.eu/catalog/koi-55_c/
Kepler-42,b,Transit,1.2137672,0.0116,,,,,38.7,,3068,0.13,0.17,,,,0.78,2012,http://exoplanet.eu/catalog/kepler-42_b/
WASP-43,b,Transit,0.813475,0.0142,0,1.78,2.939,82.6,80,,4400,0.58,0.6,,,,10.424,2011,http://exoplanet.eu/catalog/wasp-43_b/
Kepler-42,d,Transit,1.865169,0.0154,,,,,38.7,,3068,0.13,0.17,,,,0.57,2012,http://exoplanet.eu/catalog/kepler-42_d/
55 Cnc,e,Transit,0.7365449,0.01583,,0.027,5.9,90,12.3,5.938,5196,0.91,0.94,HD 75732,HIP 43587,0.878,2,2004,http://exoplanet.eu/catalog/55_cnc_e/
WASP-19,b,Transit,0.78884,0.01655,0.0046,1.168,0.583,79.4,250,,5500,0.97,0.99,,,,15.536,2009,http://exoplanet.eu/catalog/wasp-19_b/
Kepler-10,b,Transit,0.837495,0.01684,0,0.014,8.8,84.4,,,5627,,1,,,,1.416,2011,http://exoplanet.eu/catalog/kepler-10_b/
CoRoT-7,b,Transit,0.853585,0.0172,0,0.015,5.6,80.1,150,,5275,0.93,0.87,,,,1.68,2009,http://exoplanet.eu/catalog/corot-7_b/
OGLE-TR-056,b,Transit,1.21191096,0.01942,0,1.39,0.68,73.72,,15.3,6050,1.23,1.36,,,,15.446,2002,http://exoplanet.eu/catalog/ogle-tr-56_b/
WASP-18,b,Transit,0.94145299,0.02026,0.0092,10.43,8.78,86,100,9.303,6400,1.28,1.23,HD 10069,HIP 7562,0.46,13.059,2009,http://exoplanet.eu/catalog/wasp-18_b/
Qatar-2,b,Transit,1.3371182,0.02149,0,2.487,2.208,88.3,,,4645,0.74,0.71,,,,12.823,2011,http://exoplanet.eu/catalog/qatar-2_b/
TrES-3,b,Transit,1.30618581,0.02282,0,1.91,0.994,81.85,228,12.402,5650,0.93,0.83,,,0.712,14.975,2007,http://exoplanet.eu/catalog/tres-3_/
OGLE-TR-113,b,Transit,1.4324752,0.02289,,1.26,1.2,87.8,600,14.42,4790,0.78,0.77,,,,12.251,2004,http://exoplanet.eu/catalog/ogle-tr-113_b/
WASP-12,b,Transit,1.091423,0.0229,0.049,1.41,0.24,83.1,,,6300,1.35,1.57,,,,20.1,2008,http://exoplanet.eu/catalog/wasp-12_b/
WASP-4,b,Transit,1.33823187,0.02312,0,1.237,0.774,88.8,300,,5500,0.93,0.91,,,,15.838,2007,http://exoplanet.eu/catalog/wasp-4_b/
HAT-P-23,b,Transit,1.212884,0.0232,0.106,2.09,1.01,85.1,393,,5905,1.13,1.2,,,,15.334,2010,http://exoplanet.eu/catalog/hat-p-23_b/
Qatar-1,b,Transit,1.420033,0.02343,0,1.09,0.918,83.47,,,4861,0.85,0.82,,,,13.047,2010,http://exoplanet.eu/catalog/qatar-1_b/
HAT-P-36,b,Transit,1.327347,0.0238,0.063,1.832,1.12,86,317,,5560,1.02,1.1,,,,14.168,2012,http://exoplanet.eu/catalog/hat-p-36_b/
TrES-5,b,Transit,1.4822446,0.02446,0,1.778,1.25,84.529,360,,5171,0.89,0.87,,,,13.552,2011,http://exoplanet.eu/catalog/tres-5_/
WASP-46,b,Transit,1.43037,0.02448,0,2.101,1.25,82.63,,,5620,0.96,0.92,,,,14.684,2011,http://exoplanet.eu/catalog/wasp-46_b/
