pl_hostname,pl_letter,pl_discmethod,pl_orbper,pl_orbsmax,pl_orbeccen,pl_masse,pl_massj,pl_radj,pl_radj,pl_dens,pl_orbincl,st_dist,st_vj,st_teff,st_mass,st_rad,hd_name,hip_name,st_bmvj,pl_rade,pl_disc
Sol,Mercury,,,0.3871,,0.06,0.000188739,,,,,,,5780,1,1,,,,,
Sol,Venus,,,0.7233,,0.82,0.002579427,,,,,,,5780,1,1,,,,,
Sol,Earth,,,1,,1,0.003145643,,,,,,,5780,1,1,,,,,
Sol,Mars,,,1.524,,0.11,0.000346021,,,,,,,5780,1,1,,,,,
Sol,Jupiter,,,5.203,,317.9,1,,,,,,,5780,1,1,,,,,
Sol,Saturn,,,9.539,,95,0.298836112,,,,,,,5780,1,1,,,,,
Sol,Uranus,,,19.19,,14,0.044039006,,,,,,,5780,1,1,,,,,
Sol,Neptune,,,30.06,,17,0.053475936,,,,,,,5780,1,1,,,,,
Sol,Pluto,,,39.48,,0.002,6.29129E-06,,,,,,,5780,1,1,,,,,
11 Com,b,Radial Velocity,326.03,1.29,0.231,0,,,,,,112,4.74,4742,2.7,19.5,HD 107383,HIP 60202,1.01,,2008
11 UMi,b,Radial Velocity,516.22,1.54,0.08,0,,,,,,119.5,5.016,4340,1.8,24.08,HD 136726,HIP 74793,1.369,,2009
14 And,b,Radial Velocity,185.84,0.83,0,0,,,,,,76.4,5.22,4813,2.2,11,HD 221345,HIP 116076,1.02,,2008
14 Her,b,Radial Velocity,1773.4,2.77,0.369,0,,,,,,18.15,6.605,5311,0.9,,HD 145675,HIP 79248,0.89,,2002
16 Cyg B,b,Radial Velocity,798.5,1.681,0.681,534.072,1.68,,,,,21.41,6.2,5674,0.99,1.16,HD 186427,HIP 96901,0.66,,1996
18 Del,b,Radial Velocity,993.3,2.6,0.08,0,,,,,,73.1,5.506,4979,2.3,8.5,HD 199665,HIP 103527,0.924,,2008
1RXS J160929.1-210524,b,Imaging,,330,,2543.2,8,,,,,,,,,,,,,,2008
24 Sex,b,Radial Velocity,452.8,1.333,0.09,0,,,,,,74.8,6.441,5098,1.54,4.9,HD 90043,HIP 50887,0.958,,2010
24 Sex,c,Radial Velocity,883,2.08,0.29,0,,,,,,74.8,6.441,5098,1.54,4.9,HD 90043,HIP 50887,0.958,,2010
2MASS J04414489+2301513,b,Imaging,,15,,2384.25,7.5,,,,,,,,,,,,,,2010
2MASS J07464256+2000321A,b,Imaging,4640,,0.487,9988.418,31.42,,,,138.2,,,,,,,,,,2010
2MASS J12073346-3932539,b,Imaging,,41,,1271.6,4,1.5,1.5,,,,,,,,,,,16.813,2004
2MASS J21402931+1625183A,b,Imaging,7340,,0.26,6660.005,20.95,,,,46.2,,,,,,,,,,2010
2MASS J22062280-2047058A,b,Imaging,8686,,0,9988.418,31.42,,,,44.3,,,,,,,,,,2010
30 Ari B,b,Radial Velocity,335.1,0.995,0.289,0,,,,,,39.4,6.455,6152,1.16,1.13,HD 16246,HIP 12189,0.399,,2009
